Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Paulson, C.N., John, K., Baxley, R.M., Kurniawan, F., Orellana, K., Francis, R., Sobeck, A., Eichman, B.F., Chazin, W.J., Aihara, H., Georg, G.I., Hawkinson, J.E., Bielinsky, A.-K.","57210713089;55606237400;57193356910;57204582115;57204580405;7202121902;6507787599;6507895493;7006727022;7102745703;7005981607;7004230328;6602000782;","The anti-parasitic agent suramin and several of its analogues are inhibitors of the DNA binding protein Mcm10",2019,"Open Biology","9","8", 190117,"","",,,"10.1098/rsob.190117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071281415&doi=10.1098%2frsob.190117&partnerID=40&md5=6fcb3290f2a2d4a6b0000e0a596ac34e",Article,"Final",Open Access,Scopus,2-s2.0-85071281415
"Sato, S., Arimura, Y., Kujirai, T., Harada, A., Maehara, K., Nogami, J., Ohkawa, Y., Kurumizaka, H.","57210712558;55191387000;55831914900;57210715618;54380336700;57192984790;8415064400;7003474574;","Biochemical analysis of nucleosome targeting by Tn5 transposase",2019,"Open Biology","9","8", 190116,"","",,,"10.1098/rsob.190116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071281163&doi=10.1098%2frsob.190116&partnerID=40&md5=e3e542f6da62f7b0df171702fe5cd3c0",Article,"Final",Open Access,Scopus,2-s2.0-85071281163
"Thuveson, M., Gaengel, K., Collu, G.M., Chin, M.L., Singh, J., Mlodzik, M.","6602617075;6506152561;21733966700;36884125200;57197384183;7006827593;","Integrins are required for synchronous ommatidial rotation in the Drosophila eye linking planar cell polarity signalling to the extracellular matrix",2019,"Open Biology","9","8", 190148,"","",,,"10.1098/rsob.190148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071280577&doi=10.1098%2frsob.190148&partnerID=40&md5=0582649511c2a823383519f2a58f868d",Article,"Final",Open Access,Scopus,2-s2.0-85071280577
"Anderson, A.J., Jackson, T.D., Stroud, D.A., Stojanovski, D.","57210647418;57204268968;7005858710;36509569200;","Mitochondria—hubs for regulating cellular biochemistry: Emerging concepts and networks",2019,"Open Biology","9","8", 190126,"","",,,"10.1098/rsob.190126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071153873&doi=10.1098%2frsob.190126&partnerID=40&md5=4ca17682fc8d2587837b1ca0422232b7",Review,"Final",Open Access,Scopus,2-s2.0-85071153873
"Ma, W.-T., Yao, X.-T., Peng, Q., Chen, D.-K.","57193029059;57210359140;57210359385;14059428700;","The protective and pathogenic roles of IL-17 in viral infections: Friend or foe?",2019,"Open Biology","9","7", 190109,"","",,,"10.1098/rsob.190109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070482153&doi=10.1098%2frsob.190109&partnerID=40&md5=82636c9c692d63092c3eab4f606af0bf",Review,"Final",Open Access,Scopus,2-s2.0-85070482153
"Sun, H., Zhou, X., Bao, Y., Xiong, G., Cui, Y., Zhou, H.","57210362826;57210363800;57210358935;57193444892;57191340026;57210357704;","Involvement of miR-4262 in paclitaxel resistance through the regulation of PTEN in non-small cell lung cancer",2019,"Open Biology","9","7", 180227,"","",,,"10.1098/rsob.180227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070462989&doi=10.1098%2frsob.180227&partnerID=40&md5=438590815cc630f45add809b07ccd1d1",Article,"Final",Open Access,Scopus,2-s2.0-85070462989
"Romauch, M.","13607704100;","Zinc-α2-glycoprotein is an inhibitor of amine oxidase copper-containing 3",2019,"Open Biology","9","7", 190035,"","",,,"10.1098/rsob.190035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070443167&doi=10.1098%2frsob.190035&partnerID=40&md5=3f19a6f2ea464182b96bc73d05ceb2ae",Article,"Final",,Scopus,2-s2.0-85070443167
"Witzky, A., Tollerson, R., Ibba, M.","56719646800;57195597094;7005142007;","Translational control of antibiotic resistance",2019,"Open Biology","9","7", 190051,"","",,,"10.1098/rsob.190051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069316611&doi=10.1098%2frsob.190051&partnerID=40&md5=c27aa98cfed0b3915319b8ee4507ad2c",Review,"Final",Open Access,Scopus,2-s2.0-85069316611
"Vara-Ciruelos, D., Russell, F.M., Grahame Hardie, D.","57191503929;57200970095;57208458075;","The strange case of AMPK and cancer: Dr Jekyll or Mr Hyde?",2019,"Open Biology","9","7", 190099,"","",,1,"10.1098/rsob.190099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069315194&doi=10.1098%2frsob.190099&partnerID=40&md5=1f4e92b99124c8d299435a7cbf3fcbe1",Review,"Final",Open Access,Scopus,2-s2.0-85069315194
"Balcerak, A., Trebinska-Stryjewska, A., Konopinski, R., Wakula, M., Grzybowska, E.A.","56006884000;57204533207;16935292200;57188764842;57210664478;","RNA-protein interactions: Disorder, moonlighting and junk contribute to eukaryotic complexity",2019,"Open Biology","9","6", 190096,"","",,,"10.1098/rsob.190096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068240687&doi=10.1098%2frsob.190096&partnerID=40&md5=24f400738704aaee86b78791025a2164",Article,"Final",Open Access,Scopus,2-s2.0-85068240687
"Chaturvedi, D., Prabhakar, S., Aggarwal, A., Atreya, K.B., VijayRaghavan, K.","57192868553;49864111800;55371913400;8701204900;7004031702;","Adult Drosophila muscle morphometry through microCT reveals dynamics during ageing",2019,"Open Biology","9","6", 190087,"","",,,"10.1098/rsob.190087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068221623&doi=10.1098%2frsob.190087&partnerID=40&md5=9678a2df5e40ff6ba180dc3bad4f99c1",Article,"Final",Open Access,Scopus,2-s2.0-85068221623
"Hart, M., Zulkipli, I., Shrestha, R.L., Dang, D., Conti, D., Gul, P., Kujawiak, I., Draviam, V.M.","57204143939;56708784800;55831191700;57204137762;57195198801;57204143750;57190257427;6506388862;","MARK2/Par1b kinase present at centrosomes and retraction fibres corrects spindle off-centring induced by actin disassembly",2019,"Open Biology","9","6", 180263,"","",,,"10.1098/rsob.180263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068220627&doi=10.1098%2frsob.180263&partnerID=40&md5=d3ff5fa1e9f801f9b4bf2eeb99a59448",Article,"Final",Open Access,Scopus,2-s2.0-85068220627
"Petri, J., Nakatani, Y., Montgomery, M.G., Ferguson, S.A., Aragão, D., Leslie, A.G.W., Heikal, A., Walker, J.E., Cook, G.M.","57196020716;36993836400;7102101173;14037355000;6507728415;56231725100;55185401400;35513086500;7401953860;","Structure of F<inf>1</inf>-ATPase from the obligate anaerobe Fusobacterium nucleatum",2019,"Open Biology","9","6", 190066,"","",,,"10.1098/rsob.190066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068219297&doi=10.1098%2frsob.190066&partnerID=40&md5=df9ae38bee2e6ebae4c5dc78f2ddeed5",Article,"Final",Open Access,Scopus,2-s2.0-85068219297
"Pereira, S.S., Trindade, S., De Niz, M., Figueiredo, L.M.","57203723985;57206152309;55765812100;7006640451;","Correction: Tissue tropism in parasitic diseases (Open Biol (2019) 9 (190036) DOI: 10.1098/rsob.190036)",2019,"Open Biology","9","6", 190124,"","",,,"10.1098/rsob.190124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068218430&doi=10.1098%2frsob.190124&partnerID=40&md5=3364ab043dc2ce5d0de552e7551c663c",Erratum,"Final",Open Access,Scopus,2-s2.0-85068218430
"Mikros, E., Diallinas, G.","6603813747;6603754037;","Tales of tails in transporters",2019,"Open Biology","9","6", 190083,"","",,1,"10.1098/rsob.190083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068213663&doi=10.1098%2frsob.190083&partnerID=40&md5=4af3f422399cde8b08bca00cf1ea5b46",Article,"Final",Open Access,Scopus,2-s2.0-85068213663
"Verma, V., Paul, A., Vishwanath, A.A., Vaidya, B., Clement, J.P.","57203063895;57194599507;57209601615;57209458258;55479988800;","Understanding intellectual disability and utism spectrum disorders from common mouse models: Synapses to behaviour",2019,"Open Biology","9","6", 180265,"","",,,"10.1098/rsob.180265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067822918&doi=10.1098%2frsob.180265&partnerID=40&md5=4ad9ccca39530b18e95a53d7df86c2f5",Article,"Final",Open Access,Scopus,2-s2.0-85067822918
"Clayton, C.","7201900679;","Regulation of gene expression in trypanosomatids: Living with polycistronic transcription",2019,"Open Biology","9","6", 190072,"","",,1,"10.1098/rsob.190072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067501414&doi=10.1098%2frsob.190072&partnerID=40&md5=5d8a6492536a4a875114a33369d38464",Article,"Final",Open Access,Scopus,2-s2.0-85067501414
"Hu, B., Zheng, L., Long, C., Song, M., Li, T., Yang, L., Zuo, Y.","57209342680;57209343394;57205245975;57209340374;55553727715;56969822600;26435581300;","EmExplorer: A database for exploring time activation of gene expression in mammalian embryos",2019,"Open Biology","9","6", 190054,"","",,2,"10.1098/rsob.190054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067477873&doi=10.1098%2frsob.190054&partnerID=40&md5=931f92bfd1a94f39469a088c086e2f84",Article,"Final",Open Access,Scopus,2-s2.0-85067477873
"Kennaway, R., Coen, E.","6603626447;7005980710;","Volumetric finite-element modelling of biological growth",2019,"Open Biology","9","5", 190057,"","",,1,"10.1098/rsob.190057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066926744&doi=10.1098%2frsob.190057&partnerID=40&md5=8eb7c1219a70d8fe7f2fd134cffe115b",Article,"Final",Open Access,Scopus,2-s2.0-85066926744
"Gebert, D., Jehn, J., Rosenkranz, D.","56641480200;57209213244;36461674200;","Widespread selection for extremely high and low levels of secondary structure in coding sequences across all domains of life",2019,"Open Biology","9","5", 190020,"","",,,"10.1098/rsob.190020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066879827&doi=10.1098%2frsob.190020&partnerID=40&md5=57714eb0615e77f1e2fc8ab3452979f0",Article,"Final",Open Access,Scopus,2-s2.0-85066879827
"Pereira, S.S., Trindade, S., De Niz, M., Figueiredo, L.M.","57203723985;57206152309;55765812100;7006640451;","Tissue tropism in parasitic diseases",2019,"Open Biology","9","5", 190036,"","",,,"10.1098/rsob.190036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066280755&doi=10.1098%2frsob.190036&partnerID=40&md5=5eddf01882977508595145335bfc2611",Review,"Final",Open Access,Scopus,2-s2.0-85066280755
"Liu, W., Wang, Z., Yang, J., Wang, Y., Li, K., Huang, B., Yan, B., Wang, T., Li, M., Zou, Z., Yang, J., Xiao, G., Cui, Z.-K., Liu, A., Bai, X.","57198617365;57209622394;57209964813;55360080500;57149029000;55811421200;55343112200;57199031049;57192396590;7201440180;57209264599;7201917080;36150366900;7402583504;7201893444;","Osteocyte TSC1 promotes sclerostin secretion to restrain osteogenesis in mice",2019,"Open Biology","9","5", 180262,"","",,,"10.1098/rsob.180262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066262493&doi=10.1098%2frsob.180262&partnerID=40&md5=eb9a4c03c19303ecfd06a9de0b0fb19b",Article,"Final",Open Access,Scopus,2-s2.0-85066262493
"Trigg, R.M., Shaw, J.A., Turner, S.D.","57203038055;57202877848;57203428274;","Opportunities and challenges of circulating biomarkers in neuroblastoma",2019,"Open Biology","9","5", 190056,"","",,,"10.1098/rsob.190056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066257279&doi=10.1098%2frsob.190056&partnerID=40&md5=4c42d7d66f6bd91c3d3be0ff7b2c0ef8",Review,"Final",Open Access,Scopus,2-s2.0-85066257279
"Hu, Y., Zhu, Z., Nielsen, J., Siewers, V.","56005502500;55721578700;55572933700;6506266970;","Engineering Saccharomyces cerevisiae cells for production of fatty acid-derived biofuels and chemicals",2019,"Open Biology","9","5", 190049,"","",,1,"10.1098/rsob.190049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066233586&doi=10.1098%2frsob.190049&partnerID=40&md5=e6c4a6e1e2c027d8bb6ecf04d5625670",Article,"Final",Open Access,Scopus,2-s2.0-85066233586
"Myat, M.M., Louis, D., Mavrommatis, A., Collins, L., Mattis, J., Ledru, M., Verghese, S., Su, T.T.","6603262058;57208665748;57208667393;57155827300;57208666417;57208662583;37035296100;56922816100;","Regulators of cell movement during development and regeneration in Drosophila",2019,"Open Biology","9","5", 180245,"","",,,"10.1098/rsob.180245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065466513&doi=10.1098%2frsob.180245&partnerID=40&md5=174b12d37f4ea5731fba62d129eb3b38",Article,"Final",Open Access,Scopus,2-s2.0-85065466513
"Yu, L., Yang, X., Ma, B., Ying, H., Shang, X., He, B., Zhang, Q.","56799403200;57209804931;35322921600;7101836054;7006658993;55906025000;56150095100;","Abnormal arachidonic acid metabolic network may reduce sperm motility via P38 MAPK",2019,"Open Biology","9","4", 180091,"","",,,"10.1098/rsob.180091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065341174&doi=10.1098%2frsob.180091&partnerID=40&md5=1e0e6fb2eb8f4e254e87c5c82a6131c0",Article,"Final",Open Access,Scopus,2-s2.0-85065341174
"Wang, J., Varin, T., Vieth, M., Elkins, J.M.","57200022921;25124959300;56265781700;7101671449;","Crystal structure of human RIOK2 bound to a specific inhibitor",2019,"Open Biology","9","4", 190037,"","",,1,"10.1098/rsob.190037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064995296&doi=10.1098%2frsob.190037&partnerID=40&md5=406449e1822549e34d8cc952424bdab6",Article,"Final",Open Access,Scopus,2-s2.0-85064995296
"Palazzo, L., Mikolčević, P., Mikoč, A., Ahel, I.","25633223200;36118032100;6506333742;6602080104;","ADP-ribosylation signalling and human disease",2019,"Open Biology","9","4", 190041,"","",,2,"10.1098/rsob.190041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064987240&doi=10.1098%2frsob.190041&partnerID=40&md5=acab94b636be4bbb85388a802b8e0a49",Review,"Final",Open Access,Scopus,2-s2.0-85064987240
"Dunn, S., Lombardi, O., Lukoszek, R., Cowling, V.H.","54419859000;57192308151;51261388800;13612182800;","Oncogenic PIK3CA mutations increase dependency on the mRNA cap methyltransferase, RNMT, in breast cancer cells",2019,"Open Biology","9","4", 190052,"","",,,"10.1098/rsif.2018.190052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064979342&doi=10.1098%2frsif.2018.190052&partnerID=40&md5=84c52bba6272d0ebc4beaaa9c10da61e",Article,"Final",,Scopus,2-s2.0-85064979342
"Bennett, D.I.G., Amarnath, K., Park, S., Steen, C.J., Morris, J.M., Fleming, G.R.","12751927800;55369937600;55377367300;57203943342;57195353751;7202106513;","Models and mechanisms of the rapidly reversible regulation of photosynthetic light harvesting",2019,"Open Biology","9","4", 190043,"","",,1,"10.1098/rsob.190043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064722050&doi=10.1098%2frsob.190043&partnerID=40&md5=94b34a082eed2fe899c8e60e2de8878c",Review,"Final",Open Access,Scopus,2-s2.0-85064722050
"Morelli, A.M., Ravera, S., Calzia, D., Panfoli, I.","7102697334;15119975800;15119088400;6603733707;","An update of the chemiosmotic theory as suggested by possible proton currents inside the coupling membrane",2019,"Open Biology","9","4", 180221,"","",,,"10.1098/rsob.180221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064721734&doi=10.1098%2frsob.180221&partnerID=40&md5=435b23af8c7c938e3b621e13b38634c8",Review,"Final",Open Access,Scopus,2-s2.0-85064721734
"Fitzal, F., Turner, S.D., Kenner, L.","6603875053;57203428274;6701851432;","Is breast implant-associated anaplastic large cell lymphoma a hazard of breast implant surgery?",2019,"Open Biology","9","4", 190006,"","",,,"10.1098/rsob.190006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064231035&doi=10.1098%2frsob.190006&partnerID=40&md5=42266252ace7ae1eb7baba4bb05ed8aa",Review,"Final",Open Access,Scopus,2-s2.0-85064231035
"Glover, D.","57208995415;","Reviewers in 2018",2019,"Open biology","9","3",,"190032","",,,"10.1098/rsob.190032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062594354&doi=10.1098%2frsob.190032&partnerID=40&md5=980a64f6d3a82b48e60225d8973b887c",Editorial,"Final",Open Access,Scopus,2-s2.0-85062594354
"Yang, W.-K., Chien, C.-T.","57208170663;7402863482;","Beyond being innervated: The epidermis actively shapes sensory dendritic patterning",2019,"Open Biology","9","3", 180257,"","",,2,"10.1098/rsob.180257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063968873&doi=10.1098%2frsob.180257&partnerID=40&md5=a3cf04adb48a4cfb3bbe7b8295a9d728",Review,"Final",Open Access,Scopus,2-s2.0-85063968873
"Krisko, A., Radman, M.","57203616500;7004539079;","Protein damage, ageing and age-related diseases",2019,"Open Biology","9","3", 180249,"","",,1,"10.1098/rsob.180249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063968164&doi=10.1098%2frsob.180249&partnerID=40&md5=732126ae6963304ad0e9b6d36ab0f8de",Review,"Final",Open Access,Scopus,2-s2.0-85063968164
"Radman, M.","7004539079;","Cellular parabiosis and the latency of age-related diseases",2019,"Open Biology","9","3", 180250,"","",,1,"10.1098/rsob.180250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063965283&doi=10.1098%2frsob.180250&partnerID=40&md5=4e89b7b671a89097825fc775184aa24e",Review,"Final",Open Access,Scopus,2-s2.0-85063965283
"Lin, S., Senapati, B., Tsao, C.-H.","57208265399;57208142724;57207570933;","Neural basis of hunger-driven behaviour in Drosophila",2019,"Open Biology","9","3", 180259,"","",,1,"10.1098/rsob.180259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063932278&doi=10.1098%2frsob.180259&partnerID=40&md5=801b9a7eeae2edd5bd8e785e3a3608e1",Review,"Final",Open Access,Scopus,2-s2.0-85063932278
"Cardona, T.","22978348300;","Thinking twice about the evolution of photosynthesis",2019,"Open Biology","9","3", 180246,"","",,2,"10.1098/rsob.180246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063303444&doi=10.1098%2frsob.180246&partnerID=40&md5=06dba81a69b5a1dc2f258f860a301d14",Review,"Final",Open Access,Scopus,2-s2.0-85063303444
"Klucnika, A., Ma, H.","57193591278;57193585466;","A battle for transmission: The cooperative and selfish animal mitochondrial genomes",2019,"Open Biology","9","3", 180267,"","",,,"10.1098/rsob.180267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063271897&doi=10.1098%2frsob.180267&partnerID=40&md5=4b0544b44f469e59249400c5f0d6042f",Review,"Final",Open Access,Scopus,2-s2.0-85063271897
"Dulloo, I., Muliyil, S., Freeman, M.","8683096500;41262156900;7402429427;","The molecular, cellular and pathophysiological roles of irhom pseudoproteases",2019,"Open Biology","9","3", 190003,"","",,3,"10.1098/rsob.190003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063253974&doi=10.1098%2frsob.190003&partnerID=40&md5=e83453b2cb73893eff4e7ff83893480d",Review,"Final",Open Access,Scopus,2-s2.0-85063253974
"Echavarria-Consuegra, L., Smit, J.M., Reggiori, F.","57196452756;7202265953;6602133625;","Role of autophagy during the replication and pathogenesis of common mosquito-borne flavi- and alphaviruses",2019,"Open Biology","9","3", 190009,"","",,,"10.1098/rsob.190009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062839640&doi=10.1098%2frsob.190009&partnerID=40&md5=564b7307505dfc8df97120b37e43fd05",Review,"Final",Open Access,Scopus,2-s2.0-85062839640
"Pinal, N., Calleja, M., Morata, G.","6503960180;7006810012;7005042080;","Pro-apoptotic and pro-proliferation functions of the JNK pathway of drosophila: Roles in cell competition, tumorigenesis and regeneration",2019,"Open Biology","9","3", 180256,"","",,3,"10.1098/rsob.180256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062640172&doi=10.1098%2frsob.180256&partnerID=40&md5=f69d5c2ffe0d36736d0a1a0de6a0edd5",Article,"Final",Open Access,Scopus,2-s2.0-85062640172
"Ikeda, E., Ogawa, M., Takeo, M., Tsuji, T.","23397538900;16028757000;24177614500;35403158700;","Functional ectodermal organ regeneration as the next generation of organ replacement therapy",2019,"Open Biology","9","3", 190010,"","",,1,"10.1098/rsob.190010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062618962&doi=10.1098%2frsob.190010&partnerID=40&md5=18078052a07cccfb1d0223290f793094",Review,"Final",Open Access,Scopus,2-s2.0-85062618962
"Xu, Y., Wu, W., Han, Q., Wang, Y., Li, C., Zhang, P., Xu, H.","54884935100;57129279600;57207584508;57207584814;57188820539;57197773583;55589329000;","Post-translational modification control of RNA-binding protein hnRNPK function",2019,"Open Biology","9","3", 180239,"","",,,"10.1098/rsob.180239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062605565&doi=10.1098%2frsob.180239&partnerID=40&md5=e8fce502a26cb27b7b82788dfcd71789",Review,"Final",Open Access,Scopus,2-s2.0-85062605565
"Wood, V., Lock, A., Harris, M.A., Rutherford, K., Bähler, J., Oliver, S.G.","7102296936;55250729700;7404205832;7007171631;6603788294;7202287996;","Hidden in plain sight: What remains to be discovered in the eukaryotic proteome?",2019,"Open Biology","9","2", 180241,"","",,1,"10.1098/rsob.180241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062373829&doi=10.1098%2frsob.180241&partnerID=40&md5=3bd9d868ee3298d8d55fde1f0bf25a19",Article,"Final",Open Access,Scopus,2-s2.0-85062373829
"Liu, K., Xu, K., Song, Y.","57193774082;57208383294;55487485700;","Faster, higher, stronger: Timely and robust cell fate/identity commitment in stem cell lineages",2019,"Open Biology","9","2", 180243,"","",,,"10.1098/rsob.180243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062360761&doi=10.1098%2frsob.180243&partnerID=40&md5=9b1030c0e48c5bd6d7961170930504ed",Article,"Final",Open Access,Scopus,2-s2.0-85062360761
"Eckert, P., Knickmeyer, M.D., Schütz, L., Wittbrodt, J., Heermann, S.","57201500680;57201502025;56541180800;7006358613;25225699200;","Morphogenesis and axis specification occur in parallel during optic cup and optic fissure formation, differentially modulated by BMP and Wnt",2019,"Open Biology","9","2", 180179,"","",,,"10.1098/rsob.180179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062357312&doi=10.1098%2frsob.180179&partnerID=40&md5=5d8946857d1756f6be9104d7c4ae660a",Article,"Final",Open Access,Scopus,2-s2.0-85062357312
